id,name,party,chamber,state,district,start,end
D000341,Charles Dietrich,Republican,sen,NE,N/A,1901-12-02,1905-03-03
G000164,Paris Gibson,Democrat,sen,MT,N/A,1901-12-02,1905-03-03
K000034,Thomas Kearns,Republican,sen,UT,N/A,1901-12-02,1905-03-03
M000710,Joseph Millard,Republican,sen,NE,N/A,1901-12-02,1907-03-03
A000110,James Allee,Republican,sen,DE,N/A,1903-11-09,1907-03-03
D000137,Thomas Davis,Democrat,rep,WV,2,1905-12-04,1907-03-03
F000107,Scott Field,Democrat,rep,TX,6,1905-12-04,1907-03-03
F000207,Frank Flint,Republican,sen,CA,N/A,1905-12-04,1911-03-03
B001125,Henry Burnham,Republican,sen,NH,N/A,1907-12-02,1913-03-03
G000520,Simon Guggenheim,Republican,sen,CO,N/A,1907-12-02,1913-03-03
R000221,Harry Richardson,Republican,sen,DE,N/A,1907-12-02,1913-03-03
G000090,Frank Gary,Democrat,sen,SC,N/A,1908-01-01,1909-03-03
M000788,William Milton,Democrat,sen,FL,N/A,1908-01-01,1909-03-03
G000188,John Gill,Democrat,rep,MD,4,1909-03-15,1911-03-03
T000241,John Thornton,Democrat,sen,LA,N/A,1910-01-01,1915-03-03
D000489,William Draper,Republican,rep,NY,22,1911-04-04,1913-03-03
K000313,Arthur Kopp,Republican,rep,WI,3,1911-04-04,1913-03-03
L000359,Martin Littleton,Democrat,rep,NY,1,1911-04-04,1913-03-03
A000065,William Ainey,Republican,rep,PA,14,1913-04-07,1915-03-03
F000008,John Faison,Democrat,rep,NC,3,1913-04-07,1915-03-03
G000126,Henry George,Democrat,rep,NY,21,1913-04-07,1915-03-03
H000135,Winfield Hammond,Democrat,rep,MN,2,1913-04-07,1915-03-03
W000232,William Webb,Democrat,sen,TN,N/A,1913-04-07,1913-12-31
A000013,John Abercrombie,Democrat,rep,AL,-1,1915-12-06,1917-03-03
C000025,William Calder,Republican,sen,NY,N/A,1917-04-02,1923-03-03
C000205,William Carter,Republican,rep,MA,13,1917-04-02,1919-03-03
D000337,Martin Dies,Democrat,rep,TX,2,1917-04-02,1919-03-03
D000348,Charles Dillon,Republican,rep,SD,1,1917-04-02,1919-03-03
P000014,Carroll Page,Republican,sen,VT,N/A,1917-04-02,1923-03-03
M001069,Frederick Mulkey,Republican,sen,OR,N/A,1918-01-01,1919-03-03
H000610,William Hill,Republican,rep,NY,34,1919-05-19,1921-03-03
K000155,William Kettner,Democrat,rep,CA,11,1919-05-19,1921-03-03
M000290,James Mays,Democrat,rep,UT,2,1919-05-19,1921-03-03
B000800,Vincent Brennan,Republican,rep,MI,13,1921-04-11,1923-03-03
D000553,Thomas Dunn,Republican,rep,NY,38,1921-04-11,1923-03-03
L000104,Oscar Larson,Republican,rep,MN,8,1923-12-03,1925-03-03
S000666,Homer Snyder,Republican,rep,NY,33,1923-12-03,1925-03-03
C000500,William Cleary,Democrat,rep,NY,8,1925-12-07,1927-03-04
P000317,Lawrence Phipps,Republican,sen,CO,N/A,1925-12-07,1931-03-03
V000110,Edward Voigt,Republican,rep,WI,2,1925-12-07,1927-03-04
W000737,Harry Woodyard,Republican,rep,WV,4,1925-12-07,1927-03-04
D000525,James Dunbar,Republican,rep,IN,3,1929-04-15,1931-03-03
G000262,Phillips Goldsborough,Republican,sen,MD,N/A,1929-04-15,1935-01-03
S000857,Hubert Stephens,Democrat,sen,MS,N/A,1929-04-15,1935-01-03
L000427,Rose Long,Democrat,sen,LA,N/A,1936-01-01,1937-01-03
