congress,session,start_date,end_date
115,2,2018-1-3,2019-1-3
115,1,2017-1-3,2018-1-3
114,2,2016-1-4,2017-1-3
114,1,2015-1-6,2015-12-18
113,2,2014-1-3,2014-12-16
113,1,2013-1-3,2014-1-3
112,2,2012-1-3,2013-1-3
112,1,2011-1-5,2012-1-3
111,2,2010-1-5,2010-12-22
111,1,2009-1-6,2009-12-24
110,2,2008-1-3,2009-1-3
110,1,2007-1-4,2007-12-31
109,2,2006-1-3,2006-12-9
109,1,2005-1-4,2005-12-22
108,2,2004-1-20,2004-12-8
108,1,2003-1-7,2003-12-9
107,2,2002-1-23,2002-11-22
107,1,2001-1-3,2001-12-20
106,2,2000-1-24,2000-12-15
106,1,1999-1-6,1999-11-22
105,2,1998-1-27,1998-12-19
105,1,1997-1-7,1997-11-13
104,2,1996-1-3,1996-10-4
104,1,1995-1-4,1996-1-3
103,2,1994-1-25,1994-12-1
103,1,1993-1-5,1993-11-26
102,2,1992-1-3,1992-10-9
102,1,1991-1-3,1992-1-3
101,2,1990-1-23,1990-10-28
101,1,1989-1-3,1989-11-22
100,2,1988-1-25,1988-10-22
100,1,1987-1-6,1987-12-22
99,2,1986-1-21,1986-10-18
99,1,1985-1-3,1985-12-20
98,2,1984-1-23,1984-10-12
98,1,1983-1-3,1983-11-18
97,2,1982-1-25,1982-12-23
97,1,1981-1-5,1981-12-16
96,2,1980-1-3,1980-12-16
96,1,1979-1-15,1980-1-3
95,2,1978-1-19,1978-10-15
95,1,1977-1-4,1977-12-15
94,2,1976-1-19,1976-10-1
94,1,1975-1-14,1975-12-19
93,2,1974-1-21,1974-12-20
93,1,1973-1-3,1973-12-22
92,2,1972-1-18,1972-10-18
92,1,1971-1-21,1971-12-17
91,2,1970-1-19,1971-1-2
91,1,1969-1-3,1969-12-23
90,2,1968-1-15,1968-10-14
90,1,1967-1-10,1967-12-15
89,2,1966-1-10,1966-10-22
89,1,1965-1-4,1965-10-23
88,2,1964-1-7,1964-10-3
88,1,1963-1-9,1963-12-30
87,2,1962-1-10,1962-10-13
87,1,1961-1-3,1961-9-27
86,2,1960-1-6,1960-9-1
86,1,1959-1-7,1959-9-15
85,2,1958-1-7,1958-8-24
85,1,1957-1-3,1957-8-30
84,2,1956-1-3,1956-7-27
84,1,1955-1-5,1955-8-2
83,2,1954-1-6,1954-12-2
83,1,1953-1-3,1953-8-3
82,2,1952-1-8,1952-7-7
82,1,1951-1-3,1951-10-20
81,2,1950-1-3,1951-1-2
81,1,1949-1-3,1949-10-19
80,2,1948-1-6,1948-12-31
80,1,1947-1-3,1947-12-19
79,2,1946-1-14,1946-8-2
79,1,1945-1-3,1945-12-21
78,2,1944-1-10,1944-12-19
78,1,1943-1-6,1943-12-21
77,2,1942-1-5,1942-12-16
77,1,1941-1-3,1942-1-2
76,3,1940-1-3,1941-1-3
76,2,1939-9-21,1939-11-3
76,1,1939-1-3,1939-8-5
75,3,1938-1-3,1938-6-16
75,2,1937-11-15,1937-12-21
75,1,1937-1-5,1937-8-21
74,2,1936-1-3,1936-6-20
74,1,1935-1-3,1935-8-26
73,2,1934-1-3,1934-6-18
73,1,1933-3-9,1933-6-15
73,S,1933-3-4,1933-3-6
72,2,1932-12-5,1933-3-3
72,1,1931-12-7,1932-7-16
71,3,1930-12-1,1931-3-3
71,S,1930-7-7,1930-7-21
71,2,1929-12-2,1930-7-3
71,1,1929-4-15,1929-11-22
71,S,1929-3-4,1929-3-5
70,2,1928-12-3,1929-3-3
70,1,1927-12-5,1928-5-29
69,2,1926-12-6,1927-3-4
69,1,1925-12-7,1926-7-3
69,S,1925-3-4,1925-3-18
68,2,1924-12-1,1925-3-3
68,1,1923-12-3,1924-6-7
67,4,1922-12-4,1923-3-3
67,3,1922-11-20,1922-12-4
67,2,1921-12-5,1922-9-22
67,1,1921-4-11,1921-11-23
67,S,1921-3-4,1921-3-15
66,3,1920-12-6,1921-3-3
66,2,1919-12-1,1920-6-5
66,1,1919-5-19,1919-11-19
65,3,1918-12-2,1919-3-3
65,2,1917-12-3,1918-11-21
65,1,1917-4-2,1917-10-6
65,S,1917-3-5,1917-3-16
64,2,1916-12-4,1917-3-3
64,1,1915-12-6,1916-9-8
63,3,1914-12-7,1915-3-3
63,2,1913-12-1,1914-10-24
63,1,1913-4-7,1913-12-1
63,S,1913-3-4,1913-3-17
62,3,1912-12-2,1913-3-3
62,2,1911-12-4,1912-8-26
62,1,1911-4-4,1911-8-22
61,3,1910-12-5,1911-3-3
61,2,1909-12-6,1910-6-25
61,1,1909-3-15,1909-8-5
61,S,1909-3-4,1909-3-6
60,2,1908-12-7,1909-3-3
60,1,1907-12-2,1908-5-30
59,2,1906-12-3,1907-3-3
59,1,1905-12-4,1906-6-30
59,S,1905-3-4,1905-3-18
58,3,1905-12-5,1905-3-3
58,2,1903-12-7,1904-4-28
58,1,1903-11-9,1903-12-7
58,S,1903-3-5,1903-3-19
57,2,1902-12-1,1903-3-3
57,1,1901-12-2,1902-7-1
57,S,1901-3-4,1901-3-9
